Index,Spring Number,Strain,Energy
31,2,0.0,0.0
31,3,0.08500325022799804,625751.2064093694
31,4,-0.011449519242785366,11352.856133150648
32,0,0.0,0.0
32,1,0.0,0.0
32,2,0.0,0.0
32,3,0.08037686791082366,559490.5934851238
32,4,-0.016529524227187786,23661.99391927966
33,0,0.0,0.0
33,1,0.0,0.0
33,2,0.0,0.0
33,3,0.07529386911347302,490964.2403071971
33,4,-0.022116108654497202,42359.230446368594
34,0,0.0,0.0
34,1,0.0,0.0
34,2,0.0,0.0
34,3,0.06983182995055515,422315.94358550577
34,4,-0.02812544823143248,68506.14613285803
35,0,0.0,0.0
35,1,0.0,0.0
35,2,0.0,0.0
35,3,0.06407531295377544,355559.35012267216
35,4,-0.03446581021815931,102874.47130331393
36,0,0.0,0.0
36,1,0.0,0.0
36,2,0.0,0.0
36,3,0.05811482116444311,292485.56891777844
36,4,-0.0410385957882029,145853.0838334428
37,0,0.0,0.0
37,1,0.0,0.0
37,2,0.0,0.0
37,3,0.05204559866313496,234584.14109740822
37,4,-0.047739562059583185,197372.88672608678
38,0,0.0,0.0
38,1,0.0,0.0
38,2,0.0,0.0
38,3,0.04596627579190171,182982.3785431722
38,4,-0.054460233467687025,256855.94929382874
39,0,0.0,0.0
39,1,0.0,0.0
39,2,0.0,0.0
39,3,0.039977362799422655,138407.27385819843
39,4,-0.06108950632382293,323194.4265070293
40,0,0.0,0.0
40,1,0.0,0.0
40,2,0.0,0.0
40,3,0.03417960279064469,101173.00616885538
40,4,-0.06751544204302451,394763.38347110525
41,0,0.0,0.0
41,1,0.0,0.0
41,2,0.0,0.0
41,3,0.028672203576647126,71195.53777073638
41,4,-0.0736272335548529,469469.73182759405
42,0,0.0,0.0
42,1,0.0,0.0
42,2,0.0,0.0
42,3,0.023550977960435482,48033.97456377978
42,4,-0.07931731607259795,544837.0741898887
43,0,0.0,0.0
43,1,0.0,0.0
43,2,0.0,0.0
43,3,0.01890643255804081,30956.354499796995
43,4,-0.08448357835145659,618123.4678460384
44,0,0.0,0.0
44,1,0.0,0.0
44,2,0.0,0.0
44,3,0.014821855568064812,19025.48714395935
44,4,-0.0890316149620719,686466.1615106299
45,0,0.0,0.0
45,1,0.0,0.0
45,2,0.0,0.0
45,3,0.01137146286449986,11198.589017737906
45,4,-0.09287694555993187,747044.5132597116
46,0,0.0,0.0
46,1,0.0,0.0
46,2,0.0,0.0
46,3,0.008618668170350396,6432.9614962224905
46,4,-0.09594711560565672,797249.9091380584
47,0,0.0,0.0
47,1,0.0,0.0
47,2,0.0,0.0
47,3,0.006614545685126538,3789.0529333291142
47,4,-0.09818358654054538,834849.9325630852
48,0,0.0,0.0
48,1,0.0,0.0
48,2,0.0,0.0
48,3,0.005396551441653852,2522.105645095936
48,4,-0.0995433238346386,858133.6018043185
49,0,0.0,0.0
49,1,0.0,0.0
49,2,0.0,0.0
49,3,0.004987562360848186,2154.3055949610452
49,4,-0.09999999972222207,866025.3989731838
